Title,Max Players,Multiplatform,Online,Genres,Publishers,Review Score,Total Sales,Price,ESRB Rating,Year of Release,Number Of Players Completed The Game,Completionists Average Time,Main Story Average Time,Like
Super Mario 64 DS,1,True,True,Action,Nintendo,85,4.69,24.95,E,2004,57,29.766666666666666,14.333333333333334,0
Lumines: Puzzle Fusion,1,True,True,Strategy,Ubisoft,89,0.56,14.95,E,2004,5,0.0,10.333333333333334,0
WarioWare Touched!,2,True,True,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,E,2004,57,10.0,1.9166666666666663,0
Hot Shots Golf: Open Tee,1,True,True,Sports,Sony,81,0.49,12.95,E,2004,0,0.0,0.0,0
Spider-Man 2,1,True,True,Action,Activision,61,0.45,14.95,E,2004,37,72.56666666666666,8.35,0
The Urbz: Sims in the City,1,True,True,Simulation,EA,67,0.41,12.95,M,2004,7,30.03333333333333,15.5,0
Ridge Racer,1,True,True,Racing / Driving,Namco,88,0.36,19.95,E,2004,6,1.25,0.6166666666666667,0
Metal Gear Ac!d,1,True,True,Strategy,Konami,75,0.34,17.95,E,2004,18,80.0,20.7,0
Madden NFL 2005,1,True,True,Sports,EA,68,0.25,8.95,T,2004,0,0.0,0.0,0
Pokmon Dash,1,True,True,Racing / Driving,Nintendo,46,0.22,24.95,T,2004,4,12.0,1.1166666666666667,0
Dynasty Warriors,1,True,True,"Action,Adventure,Role-Playing (RPG)",,62,0.2,14.95,E,2004,4,0.0,8.883333333333333,0
Feel the Magic XY/XX,1,True,True,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,8.95,T,2004,9,0.0,2.85,0
Ridge Racer DS,1,True,True,Racing / Driving,Namco,63,0.15,9.95,E,2004,1,0.0,2.2333333333333334,0
Darkstalkers Chronicle: The Chaos Tower,1,True,True,Action,Capcom,74,0.14,14.95,E,2004,7,0.0,1.6333333333333333,0
Ape Escape Academy,4,True,True,"Action,Sports",Sony,51,0.13,14.95,E,2004,1,0.0,1.8833333333333333,0
Polarium,1,True,True,Strategy,Nintendo,73,0.12,8.95,E,2004,5,12.0,5.416666666666667,0
Asphalt: Urban GT,1,True,True,"Racing / Driving,Simulation",Ubisoft,60,0.11,14.95,E,2004,2,9.816666666666666,15.0,0
Zoo Keeper,1,True,True,Action,,74,0.1,14.95,T,2004,5,11.75,6.0,0
Mr. DRILLER: Drill Spirits,1,True,True,Action,Namco,72,0.09,14.95,T,2004,2,0.0,9.883333333333333,0
Sprung,1,True,True,Adventure,Ubisoft,48,0.06,8.95,E,2004,1,17.75,0.0,0
Armored Core: Formula Front - Extreme Battle,1,True,True,"Action,Strategy",,66,0.05,16.95,E,2004,0,0.0,0.0,0
Puyo Pop Fever,1,True,True,"Action,Strategy",Sega,76,0.04,19.95,E,2004,3,0.0,1.75,0
Mario Kart DS,1,True,True,Racing / Driving,Nintendo,91,9.99,29.95,E,2005,91,16.383333333333333,4.783333333333333,0
Nintendogs,1,True,True,Simulation,Nintendo,83,9.72,26.95,E,2005,9,100.0,27.966666666666665,0
Brain Age: Train Your Brain in Minutes a Day!,1,True,True,Action,Nintendo,77,5.07,17.95,M,2005,10,1.0,0.9333333333333332,0
